エラー,15.976,,,,視線移動距離算定,,,,,,,,,,,,,,,,,,,,,
,No,視線観測時刻（秒）,格子番号,滞在時間（秒）,便宜的変換,視線移動距離,滞在時間の合計（秒）,,格子番号の位置,,,,,,,,,,刻み,4,ｃｍ,,,,,
,29,18.546,1.2,0.858,12,10.03856097,,,2,15,9,3,16,16,16,16,16,,,,,,,,,
,30,19.404,5.7,1.023,57,45.96620559,,,1,16,8,11,12,16,5,13,16,,,,,,,,,
,31,20.427,9.9,4.29,99,,,,,,,,,,,,,,,,,,,,,
,32,24.717,5.7,0.264,57,,,,,,,,,,,,,,,,,,,,,
,33,24.981,9.9,0.429,99,,,,目視個所Ｔｏｐ　No.1,5.7,1,,5.1,16,,,,,,,,,,,,
,34,25.41,0,0.396,0,,,,目視個所Ｔｏｐ　No.2,5.6,2,,4.1,16,,,,,,,,,,,,
,35,25.806,9.9,3.597,99,,,,目視個所Ｔｏｐ　No.3,2.3,3,,3.1,6,,,,,,,,,,,,
,36,29.403,9.9,,,,,,目視個所Ｔｏｐ　No.4,4.4,4,,2.1,15,,,,,,,,,,,,
,観測時間［s］,28.644,,,,,,,目視個所Ｔｏｐ　No.5,1.6,5,,1.1,16,,,,,,,,,,,,
,,,,,最少移動距離,6.72,,,目視個所（累積ではない）,15,,,5.2,16,,,,,,,,,,,,
,任意個所の最大目視時間［s］,,,4.29,最大移動距離,46.72,,,非目視個所,25,,,4.2,16,,,,,,,,,,,,
,任意個所の目視時間の標準偏差,,,1.02,平均移動距離,18.38,,,合計,40,,,3.2,10,,,,,,,,,,,,
,,,,,距離標準偏差,13.68,,,,,,,2.2,9,,,,,,,,,,,,
,,,,,,,,,,,,,1.2,8,,,,,,,,,,,,
,原本再生時間,28.245,秒,,9.9のカウント数,11,,,,,,,5.3,16,,,,,,,,,,,,
,観察時間,28.644,秒,,9.9の秒数,15.976,,,,,,,4.3,13,,,,,1,2,3,4,5,6,7,8
,観察割合,1.014,,,0のカウント数,1,,,,,,,3.3,16,,,,5,16,16,16,16,16,2,1,16
,,,,,0の秒数,0.396,,,,,,,2.3,3,,,,4,16,16,13,4,16,16,16,16
,総ロスト時間［秒］,16.372,,原本再生に占める9.9の割合,,0.566,,,,,,,1.3,11,,,,3,6,10,16,7,16,16,16,16
,原本再生に占めるロスト割合,0.580,,観察時間に占める9.9の割合,,0.558,,,,,,,5.4,16,,,,2,15,9,3,16,16,16,16,16
,観察時間に占めるロスト割合,0.572,,原本再生に占める0の割合,,0.014,,,,,,,4.4,4,,,,1,16,8,11,12,16,5,13,16
,,,,観察時間に占める0の割合,,0.014,,,,,,,3.4,7,,,,,,,,,,,,
,,,,,,,,,,,,,2.4,16,,,,,,,,,,,,
,,,,チェックデジット,12.272,,,,,,,,1.4,12,,,,,,,,,,,,
,,,,OK,12.272,,,,,,,,5.5,16,,,,,,,,,,,,
,,,,,12.272,,,,,,,,4.5,16,,,,,,,,,,,,
,,,,,,,,,,,,,3.5,16,,,,,,,,,,,,
,,,,,,,,,,,,,2.5,16,,,,,,,,,,,,
,,,,,,,,,,,,,1.5,16,,,,,,,,,,,,
,,,,,,,,,,,,,5.6,2,,,,,,,,,,,,
,,,,,,,,,,,,,4.6,16,,,,,,,,,,,,
,,,,,,,,,,,,,3.6,16,,,,,,,,,,,,
,,,,,,,,,,,,,2.6,16,,,,,,,,,,,,
,,,,,,,,,,,,,1.6,5,,,,,,,,,,,,
,,,,,,,,,,,,,5.7,1,,,,,,,,,,,,
,,,,,,,,,,,,,4.7,16,,,,,,,,,,,,
,,,,,,,,,,,,,3.7,16,,,,,,,,,,,,
,,,,,,,,,,,,,2.7,16,,,,,,,,,,,,
,,,,,,,,,,,,,1.7,13,,,,,,,,,,,,
,,,,,,,,,,,,,5.8,16,,,,,,,,,,,,
,,,,,,,,,,,,,4.8,16,,,,,,,,,,,,
,,,,,,,,,,,,,3.8,16,,,,,,,,,,,,
,,,,,,,,,,,,,2.8,16,,,,,,,,,,,,
,,,,,,,,,,,,,1.8,16,,,,,,,,,,,,
,,,,,,,,,,,,総計,40,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
