37.455,4.5,0.066,45,7.4575
37.521,3.5,0.297,35,6.72
37.818,2.6,0.033,26,10.03856097
37.851,2.7,0.264,27,7.4575
38.115,2.6,0.033,26,7.4575
38.148,2.5,0.33,25,7.4575
38.478,1.5,0.066,15,6.72
38.544,1.6,0.033,16,7.4575
38.577,1.7,0.066,17,7.4575
38.643,1.8,0.363,18,7.4575
39.006,2.8,0.066,28,6.72
39.072,2.7,0.495,27,7.4575
39.567,3.7,0.561,37,6.72
40.128,3.8,0.297,38,7.4575
40.425,4.8,0.198,48,6.72
40.623,4.7,0.132,47,7.4575
40.755,4.6,0.066,46,7.4575
40.821,4.5,0.165,45,7.4575
40.986,4.4,1.419,44,7.4575
42.405,3.4,0.033,34,6.72
42.438,3.5,0.264,35,7.4575
42.702,2.5,0.363,25,6.72
43.065,2.4,0.198,24,7.4575
43.263,3.4,0.528,34,6.72
43.791,3.5,0.132,35,7.4575
43.923,3.6,0.33,36,7.4575
44.253,3.7,0.066,37,7.4575
44.319,3.8,0.226,38,7.4575
44.545,3.8,,,
0.99,9.9,0.33,,
1.32,4.3,0.462,43,
1.782,2.4,0.198,24,15.37035804
1.98,2.3,0.198,23,7.4575
2.178,3.4,0.825,34,10.03856097
3.003,2.3,0.594,23,10.03856097
3.597,2.7,0.297,27,29.83
3.894,3.5,0.363,35,16.35896161
4.257,2.3,0.363,23,16.35896161
4.62,1.2,0.198,12,10.03856097
4.818,3.4,0.429,34,20.07712193
5.247,2.3,0.396,23,10.03856097
5.643,3.3,0.594,33,6.72
6.237,4.2,0.33,42,10.03856097
6.567,3.2,0.396,32,6.72
6.963,3.4,0.429,34,14.915
7.392,4.6,0.363,46,16.35896161
7.755,4.8,0.429,48,14.915
8.184,2.6,0.363,26,20.07712193
8.547,2.3,0.792,23,22.3725
9.339,2.6,0.363,26,22.3725
9.702,2.3,0.396,23,22.3725
10.098,2.6,0.528,26,22.3725
10.626,3.6,0.231,36,6.72
10.857,3.5,0.627,35,7.4575
11.484,3.4,0.231,34,7.4575
11.715,4.8,0.627,48,30.57756203
12.342,3.5,0.264,35,23.35994769
12.606,4.3,0.231,43,16.35896161
12.837,5.3,0.297,53,6.72
13.134,5.5,0.462,55,14.915
13.596,5.7,0.198,57,14.915
13.794,5.4,0.528,54,22.3725
14.322,5.1,0.297,51,22.3725
14.619,5.7,0.66,57,44.745
15.279,5.6,0.198,56,7.4575
15.477,4.5,0.132,45,10.03856097
15.609,4.4,0.066,44,7.4575
15.675,4.3,0.33,43,7.4575
16.005,2.2,0.198,22,15.37035804
16.203,2.3,0.297,23,7.4575
