,,,-859.999895096E-3,2.0000000,,,,,-859.999895096E-3,2.6399999,
,,,-849.999904633E-3,2.0000000,,,,,-849.999904633E-3,2.6399999,
,,,-839.999914169E-3,2.0799999,,,,,-839.999914169E-3,2.72000003,
,,,-829.999923706E-3,2.0000000,,,,,-829.999923706E-3,2.72000003,
,,,-819.999873638E-3,2.0000000,,,,,-819.999873638E-3,2.72000003,
,,,-809.999883175E-3,2.0000000,,,,,-809.999883175E-3,2.6399999,
,,,-799.999892712E-3,2.0000000,,,,,-799.999892712E-3,2.72000003,
,,,-789.999902248E-3,2.0799999,,,,,-789.999902248E-3,2.6399999,
,,,-779.999911785E-3,2.0799999,,,,,-779.999911785E-3,2.6399999,
,,,-769.999921322E-3,2.0799999,,,,,-769.999921322E-3,2.6399999,
,,,-759.999871254E-3,2.0799999,,,,,-759.999871254E-3,2.72000003,
,,,-749.999880791E-3,2.0000000,,,,,-749.999880791E-3,2.6399999,
,,,-739.999890327E-3,2.0000000,,,,,-739.999890327E-3,2.72000003,
,,,-729.999899864E-3,2.0799999,,,,,-729.999899864E-3,2.72000003,
